## Date:  August 8, 1998
##
## The Carnegie Mellon Pronouncing Dictionary [cmudict.0.6] is Copyright 1998
## by Carnegie Mellon University. Use of this dictionary, for any research or
## commercial purpose, is completely unrestricted.  If you make use of or
## redistribute this material, we would appreciate acknowlegement of its
## origin.
##
## cmudict.0.6 is the fifth release of cmudict, first released as cmudict.0.1
## in September of 1993.  There was no generally available public release 
## of version 0.5.
##
## See the README in this directory before you use this dictionary.
##
## Thanks to Bill Huggins at BBN; Bill Fisher at NIST; Alex Hauptman,
## Alex Rudnicky, Jack Mostow, Roni Rosenfeld, Richard Stern,
## Matthew Siegler, Kevin Lenzo, Maxine Eskenazi, Mosur Ravishankar,
## Eric Thayer, Kristie Seymore, and Raj Reddy at CMU; Lin Chase at
## LIMSI; Doug Paul at MIT Lincoln Labs; Ben Serridge at MIT SLS; Murray 
## Spiegel at Bellcore; Tony Robinson at Cambridge UK; David Bowness of 
## CAE Electronics Ltd. and CRIM; Stephen Hocking; Jerry Quinn at BNR 
## Canada, and Marshal Midden for bringing to our attention problems and 
## inadequacies with the first releases. Most special thanks to Bob Weide 
## for all his work on prior versions of the dictionary.
##
## We welcome input from users and will continue to acknowledge such input
## in subsequent releases. If I failed to acknowledge your input in this
## release, please remind me and I will update these comments. If I failed to
## fix things that you brought to my attention, please remind me and have
## patience. If I actually fixed things that you brought to my attention and
## you appreciate it, I wouldn't mind a pat on the back.
##
## This version differs from previous releases of cmudict most significantly
## in the addition of new words from the common ARPA tasks for 1996 and 1997.
##
## There are undoubtedly still errors and inconsistencies in this dictionary
## so keep your eyes open for problems and mail them to me.
##
## We hope this dictionary is an improvement over cmudict.0.4.
## 
## email: cmudict@cs.cmu.edu
## web:   http://www.speech.cs.cmu.edu/cgi-bin/cmudict
## ftp:   ftp://ftp.cs.cmu.edu/project/speech/dict/
##
## Thank you for your continued interest in the CMU Pronouncing 
## Dictionary.  Further addictions and improvements are planned
## for forthcoming releases.
##
!exclamation-point  ɛk - sklə - ˈmeɪ - ʃən - pɔɪnt
"close-quote  ˈkloʊz - ˈkwoʊt
natural's  ˈnæ - tʃɚ - əlz
natural's(2)  ˈnæ - tʃrəlz
natural(2)  ˈnæ - tʃrəl
naturalism  ˈnæ - tʃɚ - ə - lɪ - zəm
naturalism(2)  ˈnæ - tʃrə - lɪ - zəm
naturalist  ˈnæ - tʃɚ - ə - ləst
naturalist(2)  ˈnæ - tʃrə - ləst
naturalistic  næ - tʃɚ - ə - ˈlɪ - stɪk
naturalistic(2)  næ - tʃrə - ˈlɪ - stɪk
naturalists  ˈnæ - tʃɚ - ə - lɪsts
naturalists(2)  ˈnæ - tʃɚ - ə - lɪss
naturalists(3)  ˈnæ - tʃrə - lɪsts
naturalists(4)  ˈnæ - tʃrə - lɪss
naturalists(5)  ˈnæ - tʃɚ - ə - lɪs
naturalists(6)  ˈnæ - tʃrə - lɪs
naturalization  ˈnæ - tʃɚ - ə - lə - ˈzeɪ - ʃən
naturalization(2)  ˈnæ - tʃrə - lə - ˈzeɪ - ʃən
naturalize  ˈnæ - tʃɚ - ə - laɪz
naturalize(2)  ˈnæ - tʃrə - laɪz
naturalized  ˈnæ - tʃɚ - ə - laɪzd
naturalized(2)  ˈnæ - tʃrə - laɪzd
naturally  ˈnæ - tʃɚ - ə - li
naturally(2)  ˈnæ - tʃrə - li
nature  ˈneɪ - tʃɚ
nature's  ˈneɪ - tʃɚz
natured  ˈneɪ - tʃɚd
naturedly  ˈneɪ - tʃɚd - li
natures  ˈneɪ - tʃɚz
natwest  næt - ˈwɛst
natwest's  næt - ˈwɛsts
natzke  ˈnæts - ki
nau  ˈnoʊ
nauer  ˈnaʊ - ɚ
nauert  ˈnaʊ - ɚt
naugatuck  ˈnɔ - gə - tʌk
naught  ˈnɔt
naughton  ˈnɔ - tən
naughty  ˈnɔ - ti
naugle  ˈnɔ - gəl
naugles  ˈnɔ - gəlz
nault  ˈnɔlt
nauman  ˈnaʊ - mən
naumann  ˈnaʊ - mən
naus  ˈnɔz
nausea  ˈnɔ - zi - ə
nauseam  ˈnaʊ - zim
nauseate  ˈnɔ - zi - eɪt
nauseated  ˈnɔ - zi - eɪ - təd
nauseating  ˈnɔ - ʒi - eɪ - tɪŋ
nauseous  ˈnɔ - ʃəs
nauss  ˈnɔs
nauta  nɑ - ˈu - tə
nautical  ˈnɔ - tə - kəl
nautilus  ˈnɔ - tə - ləs
nautilus's  ˈnɔ - tə - lə - sɪz
nav  ˈnæv
nava  ˈnɑ - və
navajo  ˈnɑ - və - hoʊ
navajo(2)  ˈnæ - və - hoʊ
navajos  ˈnɑ - və - hoʊz
navajos(2)  ˈnæ - və - hoʊz
naval  ˈneɪ - vəl
navar  nɑ - ˈvɑr
navarette  ˈnæ - vɚ - ɛt
navarra  nɑ - ˈvɑ - rə
navarre  nɑ - ˈvɑr
navarrete  ˈnæ - vɚ - it
navarrette  ˈnæ - vɚ - ɛt
navarro  nə - ˈvɑ - roʊ
navas  ˈnɑ - vəs
navcom  ˈnæv - kɑm
nave  ˈneɪv
navel  ˈneɪ - vəl
navellier  nə - ˈvɛl - yɚ
navickas  nɑ - ˈvi - kɑz
navies  ˈneɪ - viz
navigable  ˈnæ - və - gə - bəl
navigate  ˈnæ - və - geɪt
navigated  ˈnæ - və - geɪ - tɪd
navigating  ˈnæ - və - geɪ - tɪŋ
navigation  ˈnæ - və - ˈgeɪ - ʃən
navigation(2)  næ - və - ˈgeɪ - ʃən
navigational  næ - və - ˈgeɪ - ʃə - nəl
navigator  ˈnæ - və - geɪ - tɚ
navigators  ˈnæ - və - geɪ - tɚz
navin  nɑ - ˈvin
navin-chandr  ˈnɑ - vɪn - ˈtʃɑn - dɚ
navin-chandra  ˈnɑ - vɪn - ˈtʃɑn - drə
navis  ˈnɑ - vɪs
navistar  ˈnæ - vɪ - stɑr
navlab  ˈnæv - læb
navratilova  næ - vræ - tɪ - ˈloʊ - və
navratilova's  næ - vræ - tɪ - ˈloʊ - vəz
navstar  ˈnæv - stɑr
navy  ˈneɪ - vi
navy's  ˈneɪ - viz
naw  ˈnɑ
nawrocki  nɑ - ˈvroʊts - ki
nawrot  ˈnɔ - rət
nay  ˈneɪ
nayden  ˈneɪ - dɪn
naylor  ˈneɪ - lɚ
nays  ˈneɪz
naysayer  neɪ - ˈseɪ - ɚ
naysayers  neɪ - ˈseɪ - ɚz
nayyar  ˈneɪ - yɑr
nazar  nɑ - ˈzɑr
nazarbayev  nɑ - zər - ˈbaɪ - yɛv
nazareth  ˈnæ - zə - rɪθ
nazarian  nə - ˈzɛ - ri - ən
nazario  nɑ - ˈzɑ - ri - oʊ
nazer  ˈneɪ - zɚ
nazer's  ˈneɪ - zɚz
nazi  ˈnɑt - si
nazi's  ˈnɑt - siz
nazionale  nɑt - si - oʊ - ˈnɑ - li
nazis  ˈnɑt - siz
nazism  ˈnæ - zɪ - zəm
nazzaro  nɑt - ˈsɑ - roʊ
ndau  ɛn - ˈdaʊ
ne  ˈni
ne'er  ˈnɛr
ne(2)  nɔrθ - ˈist
ne(3)  ˈɛ - ˈni
ne(4)  ˈneɪ
neace  ˈnis
nead  ˈnid
neagle  ˈni - gəl
neal  ˈnil
neal's  ˈnilz
neala  ˈni - lə
neale  ˈnil
nealey  ˈni - li
nealis  ˈni - lɪs
neall  ˈnil
nealon  ˈni - lən
nealson  ˈnil - sən
nealy  ˈni - li
neanderthal  ni - ˈæn - dɚ - θɔl
neanderthals  ni - ˈæn - dɚ - θɔlz
neapolitan  ni - ə - ˈpɑ - lə - tən
near  ˈnɪr
nearby  ˈnɪr - ˈbaɪ
neared  ˈnɪrd
nearer  ˈnɪ - rɚ
nearest  ˈnɪ - rəst
nearhood  ˈnɪr - hʊd
nearing  ˈnɪ - rɪŋ
nearly  ˈnɪr - li
nears  ˈnɪrz
nearsighted  ˈnir - saɪ - tɪd
nearsightedness  ˈnir - saɪ - tɪd - nəs
neary  ˈnɪ - ri
neas  ˈniz
nease  ˈniz
neat  ˈnit
neater  ˈni - tɚ
neatest  ˈni - təst
neathery  ˈnɛ - θɚ - i
neatly  ˈnit - li
neatness  ˈnit - nəs
neault  ˈnoʊ
neave  ˈniv
neaves  ˈnivz
nebeker  ˈnɛ - bɪ - kɚ
nebel  ˈnɛ - bəl
nebergall  ˈni - bɚ - gəl
neblett  ˈnɛ - blɪt
nebraska  nə - ˈbræs - kə
nebraska's  nə - ˈbræs - kəz
nebraskan  nə - ˈbræs - kən
nebraskans  nə - ˈbræs - kənz
nebula  ˈnɛ - byə - lə
nebulous  ˈnɛ - byə - ləs
nec  ˈnɛk
necaise  ˈnɛ - kaɪs
necci  ˈnɛ - tʃi
necessarily  nɛ - sə - ˈsɛ - rə - li
necessary  ˈnɛ - sə - sɛ - ri
necessitate  nə - ˈsɛ - sə - teɪt
necessitated  nə - ˈsɛ - sə - teɪ - təd
necessitates  nə - ˈsɛ - sə - teɪts
necessitating  nə - ˈsɛ - sɪ - teɪ - tɪŋ
necessities  nə - ˈsɛ - sɪ - tiz
necessity  nə - ˈsɛ - sə - ti
necessity(2)  nə - ˈsɛ - sɪ - ti
nechayev  nɛ - ˈtʃaɪ - ɛv
nechyba  nɛ - ˈtʃi - bə
neck  ˈnɛk
necked  ˈnɛkt
necker  ˈnɛ - kɚ
necklace  ˈnɛk - ləs
necklaces  ˈnɛk - lə - sɪz
necklacing  ˈnɛk - lə - sɪŋ
necks  ˈnɛks
necktie  ˈnɛk - taɪ
neckties  ˈnɛk - taɪz
neckwear  ˈnɛk - wɛr
neco  ˈni - koʊ
neco's  ˈni - koʊz
necromancy  ˈnɛ - krə - mæn - si
necropolis  nə - ˈkrɑ - pə - ləs
necrosis  nə - ˈkroʊ - səs
nectar  ˈnɛk - tɚ
necula  ˈnɛ - kyu - lə
ned  ˈnɛd
ned's  ˈnɛdz
neda  ˈneɪ - də
nedd  ˈnɛd
nedda  ˈnɛ - də
neddick  ˈnɛ - dɪk
neddo  ˈnɛ - doʊ
nedeau  nɪ - ˈdoʊ
nederland  ˈnɛ - dɚ - lənd
nederlanden  ˈnɛ - dɚ - læn - dən
nederlander  ˈnɛ - dɚ - læn - dɚ
nederlandsche  nɛ - dɚ - ˈlænd - ʃi
nederlandse  nɛ - dɚ - ˈlænd - si
nedlloyd  ˈnɛ - də - lɔɪd
nedlloyd(2)  ˈnɛd - lɔɪd
nedrow  ˈnɛd - roʊ
nedved  ˈnɛd - vəd
nedved(2)  ˈnɛd - vɛd
nee  ˈni
neeb  ˈnib
neece  ˈnis
neeco  ˈni - koʊ
need  ˈnid
needed  ˈni - dəd
needed(2)  ˈni - dɪd
needelman  ˈni - dəl - mən
needful  ˈnid - fəl
needham  ˈni - dəm
needham's  ˈni - dəmz
neediest  ˈni - di - ɪst
needing  ˈni - dɪŋ
needle  ˈni - dəl
needled  ˈni - dəld
needlefish  ˈni - dəl - fɪʃ
needlelike  ˈni - dəl - laɪk
needleman  ˈni - dəl - mən
needlepoint  ˈni - dəl - pɔɪnt
needler  ˈni - də - lɚ
needler(2)  ˈnid - lɚ
needles  ˈni - dəlz
needless  ˈnid - ləs
needlessly  ˈnid - ləs - li
needlework  ˈni - dəl - wɝk
needling  ˈnid - lɪŋ
needn't  ˈni - dənt
needs  ˈnidz
needy  ˈni - di
neef  ˈnif
neel  ˈnil
neeld  ˈnild
neeley  ˈni - li
neels  ˈnilz
neely  ˈni - li
neeman  ˈni - mən
neenan  ˈni - nən
neeper  ˈni - pɚ
neer  ˈnɪr
nees  ˈniz
neese  ˈniz
neeson  ˈni - sən
neet  ˈnit
nefarious  nə - ˈfɛ - ri - əs
neff  ˈnɛf
neft  ˈnɛft
neftegorsk  ˈnɛf - tɪ - gɔrsk
neg  ˈnɛg
negara  nɛ - ˈgɑ - rə
negate  nɪ - ˈgeɪt
negated  ˈni - geɪ - tɪd
negated(2)  nɪ - ˈgeɪ - təd
negates  nɪ - ˈgeɪts
negating  nɪ - ˈgeɪ - tɪŋ
negation  nə - ˈgeɪ - ʃən
negative  ˈnɛ - gə - tɪv
negatively  ˈnɛ - gə - tɪv - li
negatives  ˈnɛ - gə - tɪvz
negativism  ˈnɛ - gə - tɪ - vɪ - zəm
negativity  nɛ - gə - ˈtɪ - və - ti
negatron  ˈnɛ - gə - trɑn
negatrons  ˈnɛ - gə - trɑnz
negent  ˈnɛ - gənt
negent(2)  ˈnɛ - dʒənt
negev  ˈnɛ - gɛv
neglect  nə - ˈglɛkt
neglect(2)  nɪ - ˈglɛkt
neglected  nə - ˈglɛk - təd
neglected(2)  nɪ - ˈglɛk - tɪd
neglectful  nɪ - ˈglɛkt - fəl
neglecting  nɪ - ˈglɛk - tɪŋ
neglects  nɪ - ˈglɛkts
negley  ˈnɛg - li
neglia  ˈnɛg - li - ə
negligence  ˈnɛg - lə - dʒəns
negligence(2)  ˈnɛg - lɪ - dʒəns
negligent  ˈnɛg - lə - dʒənt
negligent(2)  ˈnɛg - lɪ - dʒənt
negligently  ˈnɛg - lɪ - dʒənt - li
negligible  ˈnɛg - lə - dʒə - bəl
negligible(2)  ˈnɛg - lɪ - dʒə - bəl
negotiable  nə - ˈgoʊ - ʃə - bəl
negotiate  nə - ˈgoʊ - ʃi - eɪt
negotiate(2)  nɪ - ˈgoʊ - ʃi - eɪt
negotiated  nə - ˈgoʊ - ʃi - eɪ - təd
negotiated(2)  nɪ - ˈgoʊ - ʃi - eɪ - tɪd
negotiates  nɪ - ˈgoʊ - ʃi - eɪts
negotiating  nɪ - ˈgoʊ - ʃi - eɪ - tɪŋ
negotiation  nɪ - goʊ - ʃi - ˈeɪ - ʃən
negotiations  nə - goʊ - ʃi - ˈeɪ - ʃənz
negotiations(2)  nɪ - goʊ - ʃi - ˈeɪ - ʃənz
negotiator  nə - ˈgoʊ - ʃi - eɪ - tɚ
negotiator's  nɪ - ˈgoʊ - ʃi - eɪ - tɚz
negotiator(2)  nɪ - ˈgoʊ - ʃi - eɪ - tɚ
negotiators  nɪ - ˈgoʊ - ʃi - eɪ - tɚz
negotiators'  nə - ˈgoʊ - ʃi - eɪ - tɚz
negrete  ˈnɛ - grit
negri  ˈnɛ - gri
negrin  ˈnɛ - grɪn
negro  ˈni - groʊ
negroes  ˈni - groʊz
negroid  ˈni - grɔɪd
negron  ˈnɛ - grən
negroni  nɛ - ˈgroʊ - ni
negros  ˈni - groʊz
negs  ˈnɛgz
negus  ˈni - gəs
nehemiah  ni - ə - ˈmaɪ - ə
neher  ˈneɪ - ɚ
nehls  ˈnɛlz
nehring  ˈnɛ - rɪŋ
nehru  ˈneɪ - ru
neibauer  ˈnaɪ - baʊ - ɚ
neibert  ˈni - bɚt
neice  ˈnis
neider  ˈni - dɚ
neidhardt  ˈnaɪd - hɑrt
neidhart  ˈnaɪd - hɑrt
neidigh  ˈni - daɪ
neidl  ˈni - dəl
neidlinger  ˈnaɪ - dəl - ɪ - ŋɚ
neidlinger(2)  ˈnid - lɪ - ŋɚ
neier  ˈnaɪ - ɚ
neifert  ˈni - fɚt
neiger  ˈnaɪ - gɚ
neighbor  ˈneɪ - bɚ
neighbor's  ˈneɪ - bɚz
neighborhood  ˈneɪ - bɚ - hʊd
neighborhood's  ˈneɪ - bɚ - hʊdz
neighborhoods  ˈneɪ - bɚ - hʊdz
neighboring  ˈneɪ - bɚ - ɪŋ
neighborly  ˈneɪ - bɚ - li
neighbors  ˈneɪ - bɚz
neighbors'  ˈneɪ - bɚz
neighmond  ˈneɪ - mənd
neighmond's  ˈneɪ - məndz
neikirk  ˈni - kɚk
neil  ˈnil
neil's  ˈnilz
neilan  ˈni - lən
neild  ˈnild
neile  ˈnil
neill  ˈnil
neils  ˈnilz
neilsen  ˈnaɪl - sən
neilson  ˈnil - sən
neiman  ˈni - mən
neimeyer  ˈnaɪ - maɪ - ɚ
nein  ˈnin
neira  ˈnɛ - rə
neis  ˈniz
neisen  ˈnaɪ - sən
neises  ˈni - zɪz
neisler  ˈnaɪ - sə - lɚ
neisler(2)  ˈnaɪs - lɚ
neiss  ˈnis
neiswender  ˈnaɪ - swɛn - dɚ
neither  ˈni - ðɚ
neither(2)  ˈnaɪ - ðɚ
neitz  ˈnits
neitzel  ˈnaɪt - zəl
neitzke  ˈnaɪts - ki
nej  ˈneɪ
nejamatin  nɛ - dʒə - ˈmæ - tɪn
nekoosa  nɪ - ˈku - sə
nekton  ˈnɛk - tən
nel  ˈnɛl
nela  ˈnɛ - lə
nelda  ˈnɛl - də
nelia  ˈnɛ - li - ə
nelina  nɛ - ˈli - nə
nelita  nɛ - ˈli - tə
nell  ˈnɛl
nella  ˈnɛ - lə
nellcor  ˈnɛl - kɔr
nelle  ˈnɛl
neller  ˈnɛ - lɚ
nelles  ˈnɛlz
nellette  nɛ - ˈlɛt
nelli  ˈnɛ - li
nelliana  nɛ - li - ˈæ - nə
nellie  ˈnɛ - li
nelligan  ˈnɛ - lɪ - gən
nellis  ˈnɛ - lɪs
nellwyn  ˈnɛl - wɪn
nelly  ˈnɛ - li
nelms  ˈnɛlmz
neloms  ˈnɛ - ləmz
nelon  ˈnɛ - lən
nels  ˈnɛlz
nelsen  ˈnɛl - sən
nelson  ˈnɛl - sən
nelson's  ˈnɛl - sənz
nematode  ˈnɛ - mə - toʊd
nematodes  ˈnɛ - mə - toʊdz
nemean  ˈni - mi - ən
nemec  ˈnɛ - mɪk
nemecek  ˈnɛ - mɪ - sɪk
nemer  ˈni - mɚ
nemeroff  ˈnɛ - mɚ - ɔf
nemes  ˈnimz
nemesis  ˈnɛ - mə - sɪs
nemeth  ˈneɪ - mɪθ
nemetz  ˈnɛ - mɪts
nemir  ˈnʌ - mɚ
nemitz  ˈnɛ - mɪts
nemmers  ˈnɛ - mɚz
nemo  ˈnɛ - moʊ
nemos  ˈni - moʊz
nemours  nɪ - ˈmɔrz
nendick  ˈnɛn - dɪk
nene  ˈnin
neni  ˈnɛ - ni
neni's  ˈnɛ - nis
nenninger  ˈnɛ - nɪ - ŋɚ
neo  ˈni - oʊ
neoax  ni - oʊ - ˈæks
neoclassic  ni - oʊ - ˈklæ - sɪk
neoclassical  ni - oʊ - ˈklæ - sɪ - kəl
neoconservative  ni - oʊ - kən - ˈsɝ - və - tɪv
neoconservatives  ni - oʊ - kən - ˈsɝ - və - tɪvz
neola  ni - ˈɑ - lə
neoliberal  ni - oʊ - ˈlɪ - bɚ - əl
neoliberals  ni - oʊ - ˈlɪ - bɚ - əlz
neoma  neɪ - ˈoʊ - mə
neon  ˈni - ɑn
neonatal  ni - oʊ - ˈneɪ - təl
neons  ˈni - ɑnz
neophyte  ˈni - ə - faɪt
neophytes  ˈni - ə - faɪts
neoplasm  ˈni - ə - plæ - zəm
neoplatonic  ni - oʊ - plə - ˈtɑ - nɪk
neoplatonist  ni - oʊ - ˈpleɪ - tə - nəst
neoprene  ˈni - ə - prin
neoprene(2)  ˈni - oʊ - prin
neoprobe  ˈni - oʊ - proʊb
neorx  ˈni - oʊ - rɛks
neotenic  ni - ə - ˈti - nɪk
neoteny  ni - ˈɑ - tə - ni
nepa  ˈni - pə
nepal  nə - ˈpɔl
nepalese  nɛ - pə - ˈliz
nepali  nə - ˈpɔ - li
nephew  ˈnɛ - fyu
nephew's  ˈnɛ - fyuz
nephews  ˈnɛ - fyuz
nephridium  nə - ˈfrɪ - di - əm
nephrite  ˈnɛf - raɪt
nephron  ˈnɛ - frɑn
nephrosis  nə - ˈfroʊ - səs
nepl  ˈnɛ - pəl
nepl(2)  ˈɛ - ˈni - ˈpi - ˈɛl
neponset  nə - ˈpɑn - sɪt
nepool  nə - ˈpul
nepotism  ˈnɛ - pə - tɪ - zəm
neptune  ˈnɛp - tun
neptunium  nɛp - ˈtu - ni - əm
nerco  ˈnɝ - koʊ
nerd  ˈnɝd
nerds  ˈnɝdz
nerdy  ˈnɝ - di
nerenberg  ˈnɪ - rən - bɚg
neri  ˈnɛ - ri
nerice  ˈnɛ - rɪs
nerine  ˈnɛ - rin
nerio  ˈnɛ - ri - oʊ
neritic  nɚ - ˈɪ - tɪk
nerlich  ˈnɝ - lɪk
nerney  ˈnɝ - ni
nero  ˈnɪ - roʊ
nero's  ˈnɪ - roʊz
nerone  ˈnɛ - rən
nerren  ˈnɛ - rən
neruda  nə - ˈru - də
nervana  nɚ - ˈvæ - nə
nerve  ˈnɝv
nerves  ˈnɝvz
nervosa  nɚ - ˈvoʊ - sə
nervous  ˈnɝ - vəs
nervously  ˈnɝ - vəs - li
nervousness  ˈnɝ - vəs - nəs
nervy  ˈnɝ - vi
nes  ˈnɛs
nesbit  ˈnɛs - bɪt
nesbitt  ˈnɛz - bɪt
nesby  ˈnɛs - bi
nesci  ˈnɛ - si
nesheim  ˈnɛs - haɪm
nesi  ˈnɛ - si
nesler  ˈnɛ - sə - lɚ
nesler's  ˈnɛ - sə - lɚz
nesler's(2)  ˈnɛs - lɚz
nesler(2)  ˈnɛs - lɚ
nesmith  ˈnɛz - mɪθ
ness  ˈnɛs
nessa  ˈnɛ - sə
nessel  ˈnɛ - səl
nessen  ˈni - sən
nesser  ˈnɛ - sɚ
nesseth  ˈnɛ - sɪθ
nessi  ˈnɛ - si
nessie  ˈnɛ - si
nessler  ˈnɛs - lɚ
nest  ˈnɛst
nesta  ˈnɛ - stə
neste  ˈnɛst
nestea  ˈnɛ - sti - ə
nested  ˈnɛ - stəd
nested(2)  ˈnɛ - stɪd
nester  ˈnɛ - stɚ
nesters  ˈnɛ - stɚz
nesting  ˈnɛ - stɪŋ
nestle  ˈnɛ - səl
nestle's  ˈnɛ - səlz
nestle's(2)  ˈnɛs - ˈliz
nestle(2)  ˈnɛs - ˈli
nestled  ˈnɛ - səld
nestler  ˈnɛ - sə - lɚ
nestler(2)  ˈnɛs - lɚ
nestles  ˈnɛ - səlz
nestling  ˈnɛst - lɪŋ
nestling(2)  ˈnɛ - slɪŋ
nestlings  ˈnɛst - lɪŋz
nestlings(2)  ˈnɛs - lɪŋz
nestor  ˈnɛ - stɚ
nestorian  nɛ - ˈstɔ - ri - ən
nestorianism  nɛ - ˈstɔ - ri - ə - nɪ - zəm
nests  ˈnɛsts
net  ˈnɛt
netan  ˈnɛ - tən
netanyahu  nɛ - tə - ˈnyɑ - hu
netanyahu's  nɛ - tə - ˈnyɑ - huz
netback  ˈnɛt - bæk
netcom  ˈnɛt - kɑm
neth  ˈnɛθ
nether  ˈnɛ - ðɚ
nethercutt  ˈnɛ - θɚ - kət
netherland  ˈnɛ - ðɚ - lənd
netherlandic  ˈnɛ - ðɚ - læn - dɪk
netherlands  ˈnɛ - ðɚ - ləndz
netherlands'  ˈnɛ - θɚ - lændz
nethers  ˈnɛ - ðɚz
netherton  ˈnɛ - ðɚ - tən
netherworld  ˈnɛ - ðɚ - wɝld
nethery  ˈnɛ - ðɚ - i
nethuva  nɛ - ˈθu - və
nethuva's  nɛ - ˈθu - vəz
netlike  ˈnɛt - laɪk
neto  ˈnɛ - toʊ
nets  ˈnɛts
netscape  ˈnɛt - skeɪp
netscape's  ˈnɛt - skeɪps
nett  ˈnɛt
netta  ˈnɛ - tə
netted  ˈnɛ - tɪd
netter  ˈnɛ - tɚ
netterville  ˈnɛ - tɚ - vɪl
nettesheim  ˈnɛ - tɪs - ʃaɪm
nettie  ˈnɛ - ti
netting  ˈnɛ - tɪŋ
nettle  ˈnɛ - təl
nettled  ˈnɛ - təld
nettles  ˈnɛ - təlz
nettlesome  ˈnɛ - təl - səm
nettleton  ˈnɛ - təl - tən
nettleton's  ˈnɛ - təl - tənz
netto  ˈnɛ - toʊ
netty  ˈnɛ - ti
netview  ˈnɛt - vyu
netware  ˈnɛt - wɛr
network  ˈnɛt - wɝk
network's  ˈnɛt - wɝks
networked  ˈnɛt - wɝkt
networking  ˈnɛt - wɝ - kɪŋ
networks  ˈnɛt - wɝks
networks'  ˈnɛt - wɝks
networth  ˈnɛt - wɝθ
netz  ˈnɛts
netzel  ˈnɛt - zəl
netzer  ˈnɛt - zɚ
netzley  ˈnɛts - li
neu  ˈnɔɪ
neubauer  ˈnu - baʊ - ɚ
neubecker  ˈnu - bɛ - kɚ
neuber  ˈnu - bɚ
neuberger  ˈnu - bɚ - gɚ
neubert  ˈnu - bɚt
neuburg  ˈnu - bɚg
neuburger  ˈnu - bɚ - gɚ
neudecker  ˈnu - dɪ - kɚ
neue  ˈnu - i
neuendorf  ˈnu - ən - dɔrf
neuendorffer  ˈnun - dɔr - fɚ
neuenfeldt  ˈnu - ən - fɛlt
neuenschwander  ˈnu - ən - ʃwɔn - dɚ
neuer  ˈnɔɪ - ɚ
neufeld  ˈnu - fɛld
neufeld's  ˈnu - fɛldz
neugebauer  ˈnu - gə - baʊ - ɚ
neugent  ˈnu - dʒənt
neuhart  ˈnu - hɑrt
neuharth  ˈnu - hɑrθ
neuhaus  ˈnu - haʊs
neuhauser  ˈnu - haʊ - zɚ
neuhoff  ˈnu - hɔf
neukam  ˈnu - kəm
neukirchen  ˈnu - kɚ - tʃən
neukirchen(2)  nu - ˈkɪr - tʃən
neukom  ˈnu - kɑm
neumaier  ˈnu - maɪ - ɚ
neuman  ˈnu - mən
neumann  ˈnu - mən
neumayer  ˈnu - meɪ - ɚ
neumeier  ˈnu - maɪ - ɚ
neumeister  ˈnu - maɪ - stɚ
neumeyer  ˈnu - maɪ - ɚ
neumiller  ˈnu - mə - lɚ
neuner  ˈnu - nɚ
neupert  ˈnu - pɚt
neupogen  ˈnu - poʊ - dʒɛn
neural  ˈnʊ - rəl
neural(2)  ˈnyʊ - rəl
neurasthenia  nʊ - ræs - ˈθi - ni - ə
neuro  ˈnʊ - roʊ
neurofibromatosis  nʊ - roʊ - faɪ - broʊ - mə - ˈtoʊ - sɪs
neurohr  ˈnʊ - rɔr
neurologic  nʊ - rə - ˈlɑ - dʒɪk
neurological  nʊ - rə - ˈlɑ - dʒɪ - kəl
neurologist  nʊ - ˈrɑ - lə - dʒəst
neurologists  nʊ - ˈrɑ - lə - dʒəsts
neurologists(2)  nʊ - ˈrɑ - lə - dʒəss
neurologists(3)  nʊ - ˈrɑ - lə - dʒəs
neurology  nʊ - ˈrɑ - lə - dʒi
neurons  ˈnʊ - rɑnz
neuropathy  ˈnʊ - roʊ - pæ - θi
neuropathy(2)  nʊ - ˈrɔ - pə - θi
neuropathy(3)  ˈnyʊ - roʊ - pæ - θi
neuroscience  ˈnyʊ - roʊ - saɪ - əns
neuroscientist  ˈnyʊ - roʊ - saɪ - ən - tɪst
neuroscientist(2)  ˈnyʊ - roʊ - saɪ - ə - nɪst
neuroses  nʊ - ˈroʊ - siz
neurosis  nʊ - ˈroʊ - səs
neurosurgeon  ˈnʊ - roʊ - sɝ - dʒən
neurosurgeons  ˈnʊ - roʊ - sɝ - dʒənz
neurosurgery  nʊ - roʊ - ˈsɝ - dʒɚ - i
neuroth  ˈnʊ - rɔθ
neurotic  nʊ - ˈrɑ - tɪk
neuser  ˈnu - sɚ
neustadt  ˈnuʃ - tæt
neustine  ˈnu - staɪn
neuter  ˈnu - tɚ
neutered  ˈnu - tɚd
neutering  ˈnu - tɚ - ɪŋ
neutral  ˈnu - trəl
neutralism  ˈnu - trə - lɪ - zəm
neutralist  ˈnu - trə - ləst
neutrality  nu - ˈtræ - lə - ti
neutralization  nu - trə - lə - ˈzeɪ - ʃən
neutralize  ˈnu - trə - laɪz
neutralized  ˈnu - trə - laɪzd
neutralizes  ˈnu - trə - laɪ - zɪz
neutralizing  ˈnu - trə - laɪ - zɪŋ
neutrals  ˈnu - trəlz
neutrino  nu - ˈtri - noʊ
neutrinos  nu - ˈtri - noʊz
neutrogena  nu - trə - ˈdʒi - nə
neutron  ˈnu - trɑn
neutrons  ˈnu - trɑnz
neuville  ˈnu - vɪl
neuwirth  ˈnu - wɚθ
